,layer,pos,prob
0,0,0,0.1328125
1,0,1,0.030517578125
2,0,2,0.00726318359375
3,1,0,0.140625
4,1,1,0.022216796875
5,1,2,0.0269775390625
6,2,0,0.140625
7,2,1,0.0185546875
8,2,2,0.04638671875
9,3,0,0.13671875
10,3,1,0.01336669921875
11,3,2,0.34765625
12,4,0,0.1376953125
13,4,1,0.0120849609375
14,4,2,0.33984375
15,5,0,0.1328125
16,5,1,0.01300048828125
17,5,2,0.283203125
18,6,0,0.000133514404296875
19,6,1,0.10009765625
20,6,2,4.9114227294921875e-05
21,7,0,0.09033203125
22,7,1,0.28125
23,7,2,0.1474609375
24,8,0,0.08154296875
25,8,1,0.33984375
26,8,2,0.1669921875
27,9,0,0.08984375
28,9,1,0.38671875
29,9,2,0.08447265625
30,10,0,0.0004138946533203125
31,10,1,0.01483154296875
32,10,2,0.07568359375
33,11,0,0.00040435791015625
34,11,1,0.0034332275390625
35,11,2,0.078125
36,12,0,0.0003414154052734375
37,12,1,0.01953125
38,12,2,0.031982421875
39,13,0,0.00035858154296875
40,13,1,0.000934600830078125
41,13,2,0.04833984375
42,14,0,0.00042724609375
43,14,1,0.002655029296875
44,14,2,0.07568359375
45,15,0,0.000644683837890625
46,15,1,0.001800537109375
47,15,2,0.00128173828125
