,layer,pos,prob
0,0,0,0.2412109375
1,0,1,0.01019287109375
2,0,2,0.00286865234375
3,1,0,0.34375
4,1,1,0.015380859375
5,1,2,0.002593994140625
6,2,0,0.376953125
7,2,1,0.052734375
8,2,2,0.002166748046875
9,3,0,0.3515625
10,3,1,0.060302734375
11,3,2,0.0013885498046875
12,4,0,0.32421875
13,4,1,0.07958984375
14,4,2,0.00054168701171875
15,5,0,0.333984375
16,5,1,0.05908203125
17,5,2,0.00057220458984375
18,6,0,0.1875
19,6,1,0.051025390625
20,6,2,0.000274658203125
21,7,0,0.21875
22,7,1,0.0299072265625
23,7,2,0.0002193450927734375
24,8,0,0.2255859375
25,8,1,0.0625
26,8,2,0.00020694732666015625
27,9,0,0.0179443359375
28,9,1,0.05615234375
29,9,2,0.000446319580078125
30,10,0,0.015625
31,10,1,0.050048828125
32,10,2,0.000850677490234375
33,11,0,0.0020904541015625
34,11,1,0.07568359375
35,11,2,0.0003414154052734375
36,12,0,0.000637054443359375
37,12,1,0.09130859375
38,12,2,0.0001430511474609375
39,13,0,0.0005035400390625
40,13,1,0.006103515625
41,13,2,0.0002651214599609375
42,14,0,0.00034332275390625
43,14,1,0.00177764892578125
44,14,2,0.00080108642578125
45,15,0,0.0003452301025390625
46,15,1,0.00174713134765625
47,15,2,0.000621795654296875
