,layer,pos,prob
0,0,0,0.0206298828125
1,0,1,0.028564453125
2,0,2,0.0167236328125
3,1,0,0.0218505859375
4,1,1,0.03271484375
5,1,2,0.0274658203125
6,2,0,0.01953125
7,2,1,0.0262451171875
8,2,2,0.04931640625
9,3,0,0.01953125
10,3,1,0.0294189453125
11,3,2,0.146484375
12,4,0,0.020263671875
13,4,1,0.0247802734375
14,4,2,0.15625
15,5,0,0.0196533203125
16,5,1,0.03125
17,5,2,0.2490234375
18,6,0,0.0205078125
19,6,1,0.0247802734375
20,6,2,0.0322265625
21,7,0,0.0274658203125
22,7,1,0.0703125
23,7,2,0.004791259765625
24,8,0,3.62396240234375e-05
25,8,1,0.047119140625
26,8,2,0.0113525390625
27,9,0,0.000301361083984375
28,9,1,0.057861328125
29,9,2,0.01336669921875
30,10,0,0.0172119140625
31,10,1,0.009033203125
32,10,2,0.015625
33,11,0,0.046875
34,11,1,0.006500244140625
35,11,2,0.01495361328125
36,12,0,0.012451171875
37,12,1,0.000934600830078125
38,12,2,0.0128173828125
39,13,0,0.01434326171875
40,13,1,0.005126953125
41,13,2,0.0242919921875
42,14,0,0.0064697265625
43,14,1,0.003936767578125
44,14,2,0.0311279296875
45,15,0,0.00811767578125
46,15,1,0.0050048828125
47,15,2,0.029541015625
