,layer,pos,prob
0,0,0,0.173828125
1,0,1,0.0012664794921875
2,0,2,0.0003490447998046875
3,1,0,0.07470703125
4,1,1,0.004425048828125
5,1,2,0.0003452301025390625
6,2,0,0.078125
7,2,1,0.0038909912109375
8,2,2,0.000331878662109375
9,3,0,0.1572265625
10,3,1,0.01007080078125
11,3,2,0.00083160400390625
12,4,0,0.1552734375
13,4,1,0.051025390625
14,4,2,0.00191497802734375
15,5,0,0.189453125
16,5,1,0.0517578125
17,5,2,0.005706787109375
18,6,0,0.005126953125
19,6,1,0.08642578125
20,6,2,0.06005859375
21,7,0,0.00946044921875
22,7,1,0.07568359375
23,7,2,0.251953125
24,8,0,0.01495361328125
25,8,1,0.09814453125
26,8,2,0.4765625
27,9,0,0.0164794921875
28,9,1,0.0284423828125
29,9,2,0.546875
30,10,0,0.0216064453125
31,10,1,0.029052734375
32,10,2,0.59375
33,11,0,0.0096435546875
34,11,1,0.0260009765625
35,11,2,0.65234375
36,12,0,0.004241943359375
37,12,1,0.0234375
38,12,2,0.5390625
39,13,0,0.0016632080078125
40,13,1,0.0031585693359375
41,13,2,0.455078125
42,14,0,0.0018157958984375
43,14,1,0.001800537109375
44,14,2,0.369140625
45,15,0,0.0004100799560546875
46,15,1,0.0004100799560546875
47,15,2,0.33203125
