,layer,pos,prob
0,0,0,0.035400390625
1,0,1,0.042236328125
2,0,2,0.01416015625
3,1,0,0.0400390625
4,1,1,0.04052734375
5,1,2,0.0191650390625
6,2,0,0.038818359375
7,2,1,0.02001953125
8,2,2,0.0157470703125
9,3,0,0.03857421875
10,3,1,0.0205078125
11,3,2,0.0185546875
12,4,0,0.040771484375
13,4,1,0.0098876953125
14,4,2,0.01544189453125
15,5,0,0.0289306640625
16,5,1,0.0086669921875
17,5,2,0.01275634765625
18,6,0,0.027099609375
19,6,1,0.006561279296875
20,6,2,0.0072021484375
21,7,0,0.0164794921875
22,7,1,0.009033203125
23,7,2,0.0081787109375
24,8,0,0.035888671875
25,8,1,0.006378173828125
26,8,2,0.00872802734375
27,9,0,0.0791015625
28,9,1,0.0069580078125
29,9,2,0.0101318359375
30,10,0,0.0771484375
31,10,1,0.007720947265625
32,10,2,0.00799560546875
33,11,0,0.0703125
34,11,1,0.0086669921875
35,11,2,0.0078125
36,12,0,0.044677734375
37,12,1,0.00787353515625
38,12,2,0.009033203125
39,13,0,0.006317138671875
40,13,1,0.0140380859375
41,13,2,0.00787353515625
42,14,0,0.004302978515625
43,14,1,0.0089111328125
44,14,2,0.021484375
45,15,0,0.024658203125
46,15,1,0.00095367431640625
47,15,2,0.0203857421875
