model,input_text,generated_token
meta-llama/Llama-3.2-1B,In 1950 there, was
meta-llama/Llama-3.2-1B,In 1951 there, was
meta-llama/Llama-3.2-1B,In 1952 there, were
meta-llama/Llama-3.2-1B,In 1953 there, was
meta-llama/Llama-3.2-1B,In 1954 there, was
meta-llama/Llama-3.2-1B,In 1955 there, was
meta-llama/Llama-3.2-1B,In 1956 there, was
meta-llama/Llama-3.2-1B,In 1957 there, were
meta-llama/Llama-3.2-1B,In 1958 there, was
meta-llama/Llama-3.2-1B,In 1959 there, were
meta-llama/Llama-3.2-1B,In 1960 there, was
meta-llama/Llama-3.2-1B,In 1961 there, were
meta-llama/Llama-3.2-1B,In 1962 there, were
meta-llama/Llama-3.2-1B,In 1963 there, were
meta-llama/Llama-3.2-1B,In 1964 there, were
meta-llama/Llama-3.2-1B,In 1965 there, were
meta-llama/Llama-3.2-1B,In 1966 there, were
meta-llama/Llama-3.2-1B,In 1967 there, was
meta-llama/Llama-3.2-1B,In 1968 there, was
meta-llama/Llama-3.2-1B,In 1969 there, was
meta-llama/Llama-3.2-1B,In 1970 there, was
meta-llama/Llama-3.2-1B,In 1971 there, was
meta-llama/Llama-3.2-1B,In 1972 there, were
meta-llama/Llama-3.2-1B,In 1973 there, was
meta-llama/Llama-3.2-1B,In 1974 there, were
meta-llama/Llama-3.2-1B,In 1975 there, was
meta-llama/Llama-3.2-1B,In 1976 there, was
meta-llama/Llama-3.2-1B,In 1977 there, was
meta-llama/Llama-3.2-1B,In 1978 there, was
meta-llama/Llama-3.2-1B,In 1979 there, were
meta-llama/Llama-3.2-1B,In 1980 there, were
meta-llama/Llama-3.2-1B,In 1981 there, were
meta-llama/Llama-3.2-1B,In 1982 there, was
meta-llama/Llama-3.2-1B,In 1983 there, were
meta-llama/Llama-3.2-1B,In 1984 there, was
meta-llama/Llama-3.2-1B,In 1985 there, were
meta-llama/Llama-3.2-1B,In 1986 there, was
meta-llama/Llama-3.2-1B,In 1987 there, was
meta-llama/Llama-3.2-1B,In 1988 there, was
meta-llama/Llama-3.2-1B,In 1989 there, was
meta-llama/Llama-3.2-1B,In 1990 there, was
meta-llama/Llama-3.2-1B,In 1991 there, was
meta-llama/Llama-3.2-1B,In 1992 there, was
meta-llama/Llama-3.2-1B,In 1993 there, were
meta-llama/Llama-3.2-1B,In 1994 there, was
meta-llama/Llama-3.2-1B,In 1995 there, were
meta-llama/Llama-3.2-1B,In 1996 there, were
meta-llama/Llama-3.2-1B,In 1997 there, was
meta-llama/Llama-3.2-1B,In 1998 there, was
meta-llama/Llama-3.2-1B,In 1999 there, were
meta-llama/Llama-3.2-1B,In 2000 there, were
meta-llama/Llama-3.2-1B,In 2001 there, was
meta-llama/Llama-3.2-1B,In 2002 there, was
meta-llama/Llama-3.2-1B,In 2003 there, was
meta-llama/Llama-3.2-1B,In 2004 there, was
meta-llama/Llama-3.2-1B,In 2005 there, was
meta-llama/Llama-3.2-1B,In 2006 there, was
meta-llama/Llama-3.2-1B,In 2007 there, were
meta-llama/Llama-3.2-1B,In 2008 there, were
