column_1,column_2,column_3,column_4
meta-llama/Llama-3.2-1B,In 1950 there, were,"[('was', 13.322150230407715, 0.14478587382121738), ('will', 8.926362037658691, 0.001785088021820996), ('is', 11.676831245422363, 0.027936579791627298), ('were', 15.022615432739258, 0.7929190383621935), ('are', 11.830390930175781, 0.03257342000314087)]"
meta-llama/Llama-3.2-1B,In 1951 there, were,"[('was', 13.617656707763672, 0.3036944454349788), ('will', 8.897161483764648, 0.0027061497230422902), ('is', 11.912291526794434, 0.05518310851388965), ('were', 14.291367530822754, 0.5956974508052554), ('are', 11.656274795532227, 0.042718845522833906)]"
meta-llama/Llama-3.2-1B,In 1952 there, was,"[('was', 13.739941596984863, 0.3473338910464981), ('will', 8.7560453414917, 0.0023783103149599633), ('is', 11.898077011108398, 0.05505991486371028), ('were', 14.212440490722656, 0.5571226610911343), ('are', 11.530006408691406, 0.03810522268369729)]"
meta-llama/Llama-3.2-1B,In 1953 there, was,"[('was', 13.687417984008789, 0.3488496730476465), ('will', 8.769684791564941, 0.0025520779270950997), ('is', 11.956413269042969, 0.0617835024506925), ('were', 14.134052276611328, 0.5452668924755625), ('are', 11.559622764587402, 0.04154785409900335)]"
meta-llama/Llama-3.2-1B,In 1954 there, was,"[('was', 13.67447280883789, 0.3578398206534756), ('will', 8.660244941711426, 0.002377043742973852), ('is', 11.840078353881836, 0.05715066367169597), ('were', 14.097135543823242, 0.5460705571349412), ('are', 11.393394470214844, 0.036561914796913356)]"
meta-llama/Llama-3.2-1B,In 1955 there, were,"[('was', 13.645608901977539, 0.3056264854106342), ('will', 8.878825187683105, 0.002600178265061306), ('is', 12.046211242675781, 0.061742101793846094), ('were', 14.296721458435059, 0.5860917087549984), ('are', 11.706059455871582, 0.04393952577546014)]"
meta-llama/Llama-3.2-1B,In 1956 there, was,"[('was', 13.721738815307617, 0.34170276834582963), ('will', 8.867589950561523, 0.0026639031476433776), ('is', 11.934300422668457, 0.05719708114410159), ('were', 14.216459274291992, 0.5604061113607203), ('are', 11.526176452636719, 0.038030136001705024)]"
meta-llama/Llama-3.2-1B,In 1957 there, was,"[('was', 13.644580841064453, 0.34279820860362825), ('will', 8.769596099853516, 0.002617336557826858), ('is', 11.91236400604248, 0.06063820414733183), ('were', 14.122960090637207, 0.5530902619333671), ('are', 11.517492294311523, 0.04085598875784604)]"
meta-llama/Llama-3.2-1B,In 1958 there, was,"[('was', 13.650988578796387, 0.34890686082476013), ('will', 8.75660514831543, 0.00261279774892345), ('is', 11.898576736450195, 0.06048486508227838), ('were', 14.102701187133789, 0.5481328148757878), ('are', 11.481623649597168, 0.039862661468250245)]"
meta-llama/Llama-3.2-1B,In 1959 there, was,"[('was', 13.616775512695312, 0.3219582776326369), ('will', 8.974836349487305, 0.003103351949512589), ('is', 11.972514152526855, 0.06218790978541116), ('were', 14.1915283203125, 0.57202046699354), ('are', 11.549318313598633, 0.04072999363889932)]"
meta-llama/Llama-3.2-1B,In 1960 there, were,"[('was', 13.464908599853516, 0.19908761588709945), ('will', 8.96922779083252, 0.0022212368928007063), ('is', 11.726778984069824, 0.03500935784962475), ('were', 14.763884544372559, 0.729763824116376), ('are', 11.695108413696289, 0.03391796525409921)]"
meta-llama/Llama-3.2-1B,In 1961 there, was,"[('was', 13.597286224365234, 0.33645920829273723), ('will', 8.947847366333008, 0.003218894765815413), ('is', 11.851774215698242, 0.05873083632330696), ('were', 14.11091423034668, 0.5623390299909784), ('are', 11.448812484741211, 0.039252030627162045)]"
meta-llama/Llama-3.2-1B,In 1962 there, was,"[('was', 13.676065444946289, 0.36253706914842077), ('will', 8.811187744140625, 0.0027961655381912648), ('is', 11.885231971740723, 0.06047882208542119), ('were', 14.068798065185547, 0.5369254988439558), ('are', 11.400924682617188, 0.03726244438401081)]"
