The president of the US during the invention of the telephone was  | Ulysses Grant
The president of the US 10 years before John F. Kennedy was  | Harry Truman
When Hawaii officially became a state, the largest country in the world was  | Soviet Union
The president of the US when the Wright brothers first flew was  | Theodore Roosevelt
When the Titanic sank, the reigning monarch of the United Kingdom was  | George V
When the Great Fire of London happened, the most powerful empire in the world was  | Ottoman Empire
When the Eiffel Tower was completed, the most populous country in the world was  | China
The dominant religion in India 1,000 years ago was  | Hinduism
When the Great Wall of China was first built, the dominant empire in the world was  | Achaemenid Neo-Assyrian Median Empire
When Gandhi led the Salt March, the most populous country in the world was  | China
When paper money was first used in China, the primary form of currency in Europe was  | Gold silver coins
